,0,1,2,3,4,5,6,7
1178,Para Qué Quiero Pies Si Tengo Alas,Año: 2008,País:: Argentina,"León Gieco, Pancho Chévez, Carna Spina, Alejandra Davio, Casa De Tango Danza Ama,Beto, Rosita, Antonela Costa, Carlos Sosa, Carlos Melo",90,Documental,"
León Gieco,             Sebastián Schindel,             Fernando Molnar ","
Fernanda Ribeiz "
1179,Parador Retiro,Año: 2008,País:: Argentina,"“Parador Retiro” es un documental de observación que registra la vida de un heterogéneo grupo de personas dentro de un predio que alberga a doscientos sin techo. Cada noche, confluyen allí sus problemas personales, los conflictos propios de la convivencia y el soñado anhelo de partir.",84,Documental,"
Jorge Leandro Colás  ",
1180,Paraguay Fue Noticia,Año: 2009,País:: Paraguay,Seguinos en:,Largometraje,"
Ricardo Alvarez  ","
Silvana Nuovo ",
1181,"Paraguay, mi Tierra Olvidada",Año: 2009,País:: Paraguay,Seguinos en:,65,Documental,"
Philippe Claude  ","
Valeria Dos Santos "
1182,"Paraguay, nosotros también podemos",Año: 2009,"País:: Argentina, Paraguay",Seguinos en:,95,Documental,"
Emilio Cartoy Díaz,             Cristian Jure ","
Cristian Jure "
1183,Paraíso,Año: 2012,País:: Argentina,"Alejo sube a la terraza de un viejo edificio. Lleva los materiales necesarios para aislarse a escribir su Obra dramatica. Su obsesión es ""Tabaquería"", un poema del portugués Fernando Pessoa. Llega a una glorieta plagada de escombros, pero el lugar ya ha sido colonizado. En el último piso del edificio funciona un prostíbulo de mala muerte. Alejo no puede evitar que su mirada se fije en una niña, hija de una de las prostitutas. Tampoco puede evitar que el proxeneta lo vigile y lo provoque. Mientras el autor avanza en la escritura todo se va torciendo. El ruido de la vida en esa ruinosa glorieta y su deseo por la niña se apoderan de sus personajes.",Largometraje,"
Carlos Gindzberg ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1184,Paraísos Artificiais,Año: 2012,País:: Brasil,"A DJ Érika conhece Nando através de sua melhor amiga, Lara, em um festival de música eletrônica e os três vivem intenso momento juntos. Mas o destino os separa. Anos depois, Nando e Érika se reencontram em Amsterdã e se apaixonam, mas só ela sabe o que aconteceu naquela noite que marcou a vida dos três para sempre.",HD,Largometraje,Drama,"
Marcos Prado "
1185,Paralelo 10,Año: 2012,País:: Brasil,"O longa documenta a viagem feita por José Carlos Meirelles e Terri Aquino a uma região pouco conhecida do Brasil, o Paralelo 10 Sul, no Acre, quase na fronteira com o Peru, região amazônica. O filme viaja com eles durante três semanas, subindo o Rio Envira, enfrentando vários obstáculos e se aproximando cada vez mais das malocas de índios isolados.",87,Documental,"
Silvio Da-Rin ",https://www.youtube.com/watch?v=T2XmlV205As
1186,Parapolicial negro,Año: 2012,País:: Argentina,"Entre el 2006 y el 2007 detienen y extraditan desde España a Eduardo Almirón, acusado de seruno de los jefes de la triple A (Alianza Anticomunista Argentina). Lo involucran en los asesinatosde Rodolfo Ortega Peña, Silvio Frondizi y el padre Carlos Mujica entre otros; y se declaran loscrímenes de la Triple A como de Lesa Humanidad, considerados terrorismo de estado, por lo queno prescriben. Cuando se empieza a investigar a este policía duro y un par de sus secuaces, surgeuna historia tremenda de corrupción, violencia, crímenes y secuestros que parece sacada de lospoliciales negros más violentos que se hayan podido escribir.",Largometraje,"
Javier Diment ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1187,Partir De Cero ,Año: 2009,País:: Chile,   Cristián Gaete   Cristina Tapies   Antonieta Landa   Soledad Cruz   ,Largometraje,"
Jorge Córdoba,             Álvaro Jaque ","
   Cristián Gaete   Cristina Tapies   Antonieta Landa   Soledad Cruz    ",
1188,Paseo ,Año: 2009,País:: Chile,   Gabriela Aguilera   Roberto Farías   Felipe Prieto  ,72,"
Sergio Castro San Martín  ","
Sergio Castro San Martín  ","
   Gabriela Aguilera   Roberto Farías   Felipe Prieto   "
1189,Pasto,Año: 2008,País:: Uruguay,"El documental compara a Holanda, donde el consumo de marihuana es legal desde hace décadas y tolerado socialmente desde el siglo XVI, con Uruguay, donde el porro se refugia en cultivos clandestinos, y criminaliza a quienes lo consumen. La legalización, el cultivo doméstico, la cruzada farmacológica y la necedad son reflejadas en forma de contradicciones, sin hipocresía y con sólidos conocimientos.",MiniDV/Hi-8DV/HD/DVD,Largometraje,Documental,"
Valentín Macedo,             Martín Presente "
1190,"Pastora, el enigma del Monte Albornoz",Año: 2013,País:: Argentina,"Durante un día de campo, Pastora, de 10 años, desaparece sin dejar rastro alguno. Supueblo, Monte Albornoz, adopta aquella tragedia como un misterio inexplicable. Añosdespués y atraído por el enigma, el periodista Fabio Picasso visita el lugar de los hechosy ahonda en detalles que no fueron profundizados por la investigación, descubriendo algomucho más terrible que cualquier conjetura fantástica.",35mm,Largometraje,Thriller,"
Alfredo Salinas,             César Albarracín  "
1191,Patas Arriba,Año: 2011,País:: Venezuela,"Renato es un abuelo viudo, un padre amoroso, un vigoroso espíritu, con un cuerpo débil y enfermo que lo mantiene prisionero en su propia casa, en lo alto de una montaña, desde donde contempla el mar, que le trae recuerdos de su amada, donde sueña volver. Tiene tres hijos, Montserrat, quien por cuidarlo ha dejado a un lado sus propias necesidades y quiere retomar su vida, aunque para hacerlo deba tomar medidas poco democráticas. Anita, la segunda hija, embarazada accidentalmente a los 45, desilusionada y en plena crisis matrimonial; está tan enfocada en sus problemas personales, que no percibe las necesidades de los demás. Y Salvador, el menor de sus hijos, único varón, la luz de sus ojos, quien por estar atado a un trágico recuerdo, vive el presente en una eterna evasión, por lo que sin proponérselo se convierte en cómplice de sus hermanas. Renato descubre que sus hijas han resuelto internarlo en un hospital contra su voluntad y no está dispuesto a permitirlo. De la mano de Carlota, su nieta y ""socia "", activa un ingenioso plan para emprender su soñada travesía y enfrentar los rigores del tiempo",Largometraje,"
Alejandro Garcia Wiedermann ",https://www.youtube.com/watch?v=DCmK2eBf7h4,
1192,Patativa do Assaré - Ave Poesia,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Rosemberg Cariry  ","
Rosemberg Cariry  ",
1193,Pau Brasil,Año: 2014,País:: Brasil,"Em um pequeno e perdido povoado no coração do Brasil, as famílias de Joaquim e Nives moram lado a lado. Apesar de conviverem com a mesma estrutura perversa de opressão social, lidam com a vida de modo radicalmente diferente.",98,Drama,"
Fernando Belens ","
BERTRAND DUARTE, OSVALDO MIL, FERNANDA PAQUELET, ARANY SANTANA "
1194,Paulo Gracindo - O Bem-Amado,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Gracindo Jr ","
Gracindo Jr.  ",www.paulogracindo.com.br
1195,Paulo Moura - Alma Brasileira,Año: 2013,País:: Brasil,"Reunindo vestígios filmados e gravados ao longo de quatro décadas, um mosaico formado com peças unidas por livre associação retrata a carreira musical e a personalidade do clarinetista, saxofonista, compositor, arranjador e regente Paulo Moura.",86,Documental,"
Eduardo Escorel  ",www.youtube.com/watch?v=YwYA9BzwfjY
1196,Paye,Año: 2009,País:: Paraguay,Seguinos en:,Cortometraje,"
Richard Careaga ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1197,Pecados de mi padre,Año: 2010,"País:: Argentina, Colombia, Unidos Estados Unidos","“Pecados de mi Padre” cuenta la historia de Pablo Escobar, el más famoso traficante de drogasde la era moderna, desde una perspectiva nueva: la voz de su único hijo varón. Por primera vez,Sebastián Marroquín (antes llamado Pablo Escobar) invita a entrar en el hogar de Escobar a travésde fotografías, grabaciones y recuerdos intimos. En el proceso Sebastián intenta acercarse a loshijos de las victimas más prominentes de su padre, los politicos colombianos y lideres de la luchaanti-drogas, Luis Carlos Galán y Rodrigo Lara Bonilla.",90,Documental,"
Nicolás Entel ",
1198,Pegar La Vuelta,Año: 2008,País:: Argentina,"Hernán Ferreyra, Lucía Martín, Rodolfo Barone",90,Ficción,"
Diego Adrián De Llano ","
Diego Adrián De Llano "
1199,Peixonauta - Agente secreto da O.S.T.R.A.,Año: 2012,País:: Brasil,"Peixonauta prepara-se para uma nova aventura, agora como agente especial O.S.T.R.A. Para conquistar a insígnia, ele terá de cumprir sete missões com a ajuda de seus amigos Marina e Zico.",95,Animación,"
Celia Catunda,             Kiko Mistrorigo ",www.youtube.com/watch?v=yVOUcUuopwY
1200,Pense que iba a haber fiesta,Año: 2013,"País:: Argentina, España",Ana comienza una relación apasionada con el ex marido de su íntima amiga mientras lecuida su casa y su hija,35mm,Largometraje,Comedia Dramática,"
Victoria Galardi "
1201,Penumbra,Año: 2010,País:: Argentina,"En Argentina, Shantas es un joven marginal que vive en una zona carenciada y teñida por lasprácticas de las divinidades de los Orishás (Umbanda), que son las raíces de sus antepasadosprocedentes de la esclavitud en Argentina. El joven se cree invencible. A raíz de su útlimocombate, su vida violenta encontrará el camino del “renacimiento” a sus raíces más profundas enel continente africano. Entre cuento fantástico y fábula moderna, el film plantea una interiorizaciónen la historia negada de los africanos en Argentina.",85,Drama,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1202,Pequeña Habana,Año: 2008,País:: Argentina,Seguinos en:,75,Documental,"
Rolando Pardo ","
Rolando Pardo "
1203,Pequenas Histórias,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Helvécio Ratton  ","
Helvécio Ratton  ",www.pequenashistorias.com.br
1204,Perejiles,Año: 2008,País:: Uruguay,"En cualquier evento donde se sirven ágapes y lunchs, aparecen los llamados “perejiles”. Con supuesta “patente de periodista” pasan inadvertidos para la mayor parte de los concurrentes, pero despiertan rechazo en los “verdaderos” equipos de prensa. ¿Los “perejiles” son periodistas o impostores?",DV,Largometraje,Documental,"
Federico González Rejón "
